fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2000,Defense,Navy,Air,65222680.0000,105,104
2000,NASA,NASA,Air,2466000.0000,12,3
2000,Other Agencies,NULL,Other Products,1142395.0000,30,8
2000,Other Agencies,Agriculture,Sea,164000.0000,1,1
2000,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",338000.0000,5,5
2000,Other Agencies,Commerce,C4ISR,1145000.0000,6,6
2000,Other Agencies,Commerce,Other Products,61000.0000,1,1
2000,Other Agencies,Interior,Other R&D and Knowledge Based,2785000.0000,48,47
2000,Other Agencies,Interior,Other Services,79000.0000,2,2
2000,Other Agencies,Justice,C4ISR,2003000.0000,31,34
2000,Other Agencies,Justice,Other Products,180000.0000,13,14
2000,Other Agencies,NATIONAL LABOR RELATIONS BOARD,C4ISR,31000.0000,1,1
2000,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,200000.0000,5,5
2000,Other Agencies,Transportation,Land,-15000.0000,1,1
2000,Other Agencies,Transportation,Other Products,59000.0000,2,2
2000,Other Agencies,Transportation,Sea,888000.0000,8,9
2000,Other Agencies,Treasury,Other Products,9412000.0000,11,7
2000,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",2872976.2100,17,19
2000,State and IAP,USAID,Air,99000.0000,1,1
2001,Defense,Air Force,Land,379402.0000,2,1
2001,Defense,Navy,Sea,5486072.0000,32,27
2001,Defense,Other DoD,Air,520921.0000,1,1
2001,Defense,Other DoD,Other Services,121010.0000,2,2
2001,Energy,Energy,Other Products,60000.0000,1,1
2001,HHS,HHS,C4ISR,170000.0000,2,3
2001,NASA,NASA,Other R&D and Knowledge Based,-8000.0000,1,1
2001,Other Agencies,Agriculture,Other Services,3011931.0000,16,10
2001,Other Agencies,All other Customers,C4ISR,158000.0000,2,2
2001,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",945000.0000,10,13
2001,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",159000.0000,3,3
2001,Other Agencies,Interior,Other Products,1611000.0000,4,4
2001,Other Agencies,Justice,Other R&D and Knowledge Based,187000.0000,7,5
2001,Other Agencies,Justice,"Weapons, Ammunition and Missiles",85000.0000,3,3
